SamAccountName; City; StreetAddress; physicalDeliveryOfficeName; info; Company; PostalCode
ekb4; Екатеринбург; ул.Амундсена д. 65 ;" ТЦ ""КИТ"""; ;" АО ""Одежда 3000"""; 
nsb3; Новосибирск  ; пл. Карла Маркса д. 2; ТРЦ Галерея Фестиваль; ;" АО ""Одежда 3000"""; 
ptz1; Петрозаводск; проспект Ленина д. 14;" ТЦ ""Макси"""; ;" АО ""Одежда 3000"""; 
ksd3; Краснодар; ул. Уральская д.79/3 ;" ТЦ ""СБС"""; ;" АО ""Одежда 3000"""; 
ksd4; Краснодар ; ул. Володи Головатого  д. 313; ТЦ Галерея ; ;" АО ""Одежда 3000"""; 
chr1; Череповец; ул. Ленинградская д. 1  ;" ТРК""Северо-Западный"""; ;" АО ""Одежда 3000"""; 
sml1; Смоленск; ул.Новомосковская  д. 2/8;" ТЦ ""Галактика"""; этаж 1;" АО ""Одежда 3000"""; 
sta2; Ставрополь ; проспект Карла Маркса  д. 47-49;" ТЦ ""7-е Небо"""; ;" АО ""Одежда 3000"""; 
kaz4; Казань; ул.Мавлютова д. 45 ;" ТЦ ""Сити Центр"""; ;" АО ""Одежда 3000"""; 
spb9; Санкт-Петербург; ул. Ленсовета д. 97;" ТЦ ""Континент"""; ;" АО ""Одежда 3000"""; 
sam5; Самара; Пр.Кирова д. 147;" ТЦ ""Вива Лэнд"""; ;" АО ""Одежда 3000"""; 
orb1; Оренбург; проспект Дзержинского д. 23; ТЦ Север; ;" АО ""Одежда 3000"""; 
lip2; Липецк; ул. Советская д. 66;" ТЦ ""Европа"""; этаж 2 ;" АО ""Одежда 3000"""; 
ysh1; Йошкар-Ола; ул. Карла Маркса д. 99;" ТЦ ""ФОРУМ"""; ;" АО ""Одежда 3000"""; 
ors1; Орск; ул. Васнецова д. 16;" ТЦ ""ЦУМ"""; ;" АО ""Одежда 3000"""; 
sp10; Колпино(Санкт-Петербург); ул.Проетарская д. 36; ТЦ Меркурий; ;" АО ""Одежда 3000""";196657
vlg1; Вологда ; Окружное ш. д. 12;" ТЦ ""РИО"""; ;" АО ""Одежда 3000""";160000
kem1; Кемерово; Октябрьский проспект д. 34;" ТЦ ""Лапландия"""; ;" АО ""Одежда 3000"""; 
ekb5; Екатеринбург; ул. Вайнера д. 10; ТЦ  Успенский; ;" АО ""Одежда 3000"""; 
krs2; Курск ; ул.Студенческая д. 1; ТЦ Европа-40; ;" АО ""Одежда 3000""";620014
vol4; Волгоград; Университетский проспект д. 107 ;" ТЦ ""Акварель"""; ;" АО ""Одежда 3000"""; 
sp11; Санкт-петербург; ул.Тепловозная д. 31;" ТЦ ""Порт Находка"""; ;" АО ""Одежда 3000"""; 
mgn1; Магнитогорск; Проспект Карла Маркса д. 153;" ТЦ ""Гостиный двор"""; ;" АО ""Одежда 3000"""; 
nev1; Невинномысск ; ул.Гагарина д. 1Б;" ТЦ ""Гранд"""; ;" АО ""Одежда 3000"""; 
azv1; Азов; ул. Привокзальная д. 10Б;" ТЦ ""Семь Ветров"""; этаж 2 ;" АО ""Одежда 3000"""; 
sar3; Саратов ; ул.Танкистов д. 1; ТЦ «Форум»; этаж 3;" АО ""Одежда 3000"""; 
tum2; Тюмень; Московский тракт д. 119;" ТЦ ""Колумб"""; этаж 2;" АО ""Одежда 3000"""; 
