"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"CO-DC1","CN=CO-DC1,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-DC03","CN=CO-DC03,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-DC04","CN=CO-DC04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-VM-DC02","CN=CO-VM-DC02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"D2-DC01","CN=D2-DC01,OU=Domain Controllers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-DC01","CN=DC-DC01,OU=Domain Controllers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-TS2","CN=CO-TS2,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"ULK1-POS","CN=ULK1-POS,OU=Ulyanovsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server® 2008 Standard","Service Pack 2","6.0 (6002)"
"CO-TS02","CN=CO-TS02,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"DAG","CN=DAG,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"CO-EXCH2","CN=CO-EXCH2,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-EXCH","CN=CO-EXCH,OU=Potentially disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-FS03","CN=CO-FS03,OU=File Servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-NETSHOP","CN=CO-NETSHOP,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"DC-LOG01","CN=DC-LOG01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-MAIL","CN=CO-MAIL,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-COM-WW-63","CN=CO-COM-WW-63,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"LIP1-POS-02","CN=LIP1-POS-02,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"vmhost01","CN=vmhost01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local",,,
"UFA1-TS","CN=UFA1-TS,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"SPB4-TS","CN=SPB4-TS,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"VOR1-POS","CN=VOR1-POS,OU=Voronezh1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"NOV1-POS","CN=NOV1-POS,OU=Nizhniy_Novgorod1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"KST2-POS","CN=KST2-POS,OU=Kostroma2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"VOL1-POS","CN=VOL1-POS,OU=Volgograd1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"UFA1-POS-02","CN=UFA1-POS-02,OU=Ufa1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"SPB4-POS","CN=SPB4-POS,OU=Saint_Peterburg4,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-TMG","CN=CO-TMG,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-TMG2","CN=CO-TMG2,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-KAV","CN=CO-KAV,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SRV2008VCENTER","CN=SRV2008VCENTER,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"CO-VM-LYNC","CN=CO-VM-LYNC,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SPB6-POS","CN=SPB6-POS,OU=Saint_Peterburg6,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"IVN1-POS","CN=IVN1-POS,OU=Ivanovo1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"TOL4-TS","CN=TOL4-TS,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"CO-IT-WW-03","CN=CO-IT-WW-03,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10586)"
"spb5-vid-ww-02","CN=spb5-vid-ww-02,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"bel1-vid-ww-01","CN=bel1-vid-ww-01,OU=Belgorod1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"ufa2-vid-ww-01","CN=ufa2-vid-ww-01,OU=Ufa2,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"mgn2-kass-ww-01","CN=mgn2-kass-ww-01,OU=Magnitogorsk2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"mgn2-man-ww-01","CN=mgn2-man-ww-01,OU=Magnitogorsk2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"IZH2-POS","CN=IZH2-POS,OU=Izhevsk2,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"spb5-vid-ww-03","CN=spb5-vid-ww-03,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"mgn1-vid-ww-02","CN=mgn1-vid-ww-02,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local",,,
"tol4-vid-ww-01","CN=tol4-vid-ww-01,OU=Toljatti4,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KIR1-VID-WW-01","CN=KIR1-VID-WW-01,OU=Kirov1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KEM1-VID-WW-01","CN=KEM1-VID-WW-01,OU=Kemerovo1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ4-MED-WW-01","CN=KAZ4-MED-WW-01,OU=Kazan4,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"vor1-vid-ww-01","CN=vor1-vid-ww-01,OU=Voronezh1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная",,"6.1 (7600)"
"spb6-vid-ww-01","CN=spb6-vid-ww-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB5-MED-WW-01","CN=SPB5-MED-WW-01,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORB1-MED-WW-01","CN=ORB1-MED-WW-01,OU=Orenburg1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"nov2-med-ww-01","CN=nov2-med-ww-01,OU=Nizhniy_Novgorod2,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB7-VID-WW-04","CN=SPB7-VID-WW-04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA2-VID-WW-01","CN=STA2-VID-WW-01,OU=Stavropol2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUL2-VID-WW-01","CN=TUL2-VID-WW-01,OU=Tula2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"LIP1-MED-WW-01","CN=LIP1-MED-WW-01,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Корпоративная",,"6.1 (7600)"
"SPB2-MED-WW-01","CN=SPB2-MED-WW-01,OU=Saint_Peterburg2,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAR3-VID-WW-01","CN=SAR3-VID-WW-01,OU=Saratov3,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA1-MED-WW-01","CN=STA1-MED-WW-01,OU=Stavropol1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NVS1-MEDIA","CN=NVS1-MEDIA,OU=Novorossiysk1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA2-MED-WW-01","CN=UFA2-MED-WW-01,OU=Ufa2,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ4-VID-WW-01","CN=KAZ4-VID-WW-01,OU=Kazan4,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB5-WW-VID-03","CN=SPB5-WW-VID-03,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"sar2-vid-ww-01","CN=sar2-vid-ww-01,OU=Saratov2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB3-MED-WW-01","CN=NSB3-MED-WW-01,OU=Novosibirsk3,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MGN1-VID-WW-01","CN=MGN1-VID-WW-01,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REU2-MEDIA","CN=REU2-MEDIA,OU=Reutov2,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB4-MED-WW-01","CN=EKB4-MED-WW-01,OU=Ekaterinburg4,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SCH1-VID-WW-01","CN=SCH1-VID-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA2-MED-WW-01","CN=STA2-MED-WW-01,OU=Stavropol2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB3-MED-WW-01","CN=SPB3-MED-WW-01,OU=Saint_Peterburg3,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAM5-VID-WW-01","CN=SAM5-VID-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"RYZ3-VID-WW-01","CN=RYZ3-VID-WW-01,OU=Ryazan3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"OMS1-VID-WW-01","CN=OMS1-VID-WW-01,OU=Omsk1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLG1-VID-WW-01","CN=VLG1-VID-WW-01,OU=Vologda1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA4-VID-WW-01","CN=UFA4-VID-WW-01,OU=Ufa4,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLG1-MED-WW-01","CN=VLG1-MED-WW-01,OU=Vologda1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NKM1-MED-WW-01","CN=NKM1-MED-WW-01,OU=Nizhnekamsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB3-VID-WW-02","CN=NSB3-VID-WW-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KRS2-MED-WW-01","CN=KRS2-MED-WW-01,OU=Kursk2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB4-VID-WW-01","CN=EKB4-VID-WW-01,OU=Ekaterinburg4,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"che3-vid-ww-01","CN=che3-vid-ww-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"vol1-vid-ww-01","CN=vol1-vid-ww-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная",,"6.1 (7600)"
"lip1-vid-ww-01","CN=lip1-vid-ww-01,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB6-MED-WW-02","CN=SPB6-MED-WW-02,OU=Saint_Peterburg6,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"AZV1-VID-WW-01","CN=AZV1-VID-WW-01,OU=Azov1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ1-VID-WW-01","CN=KAZ1-VID-WW-01,OU=Kazan1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STT1-VID-WW-01","CN=STT1-VID-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP11-VID-WW-01","CN=SP11-VID-WW-01,OU=Saint_Peterburg11,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP10-MED-WW-01","CN=SP10-MED-WW-01,OU=Saint_Peterburg10,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHB1-MEDIA","CN=CHB1-MEDIA,OU=Cheboksary1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IVN2-VIDEO","CN=IVN2-VIDEO,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SML1-MED-WW-01","CN=SML1-MED-WW-01,OU=Smolensk1,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHE1-VID-WW-01","CN=CHE1-VID-WW-01,OU=Chelyabinsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"stk1-vid-ww-01","CN=stk1-vid-ww-01,OU=Syktyvkar1,OU=Moskva - 1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"nov2-vid-ww-01","CN=nov2-vid-ww-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHR1-MED-WW-01","CN=CHR1-MED-WW-01,OU=Cherepovets1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORL1-MEDIA","CN=ORL1-MEDIA,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB9-VID-WW-01","CN=SPB9-VID-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"nal1-vid-ww-01","CN=nal1-vid-ww-01,OU=Nalchik1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB7-MED-WW-01","CN=SPB7-MED-WW-01,OU=Saint_Peterburg7,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KRS2-VID-WW-01","CN=KRS2-VID-WW-01,OU=Kursk2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"vor2-med-ww-01","CN=vor2-med-ww-01,OU=Voronezh2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHR1-VID-WW-01","CN=CHR1-VID-WW-01,OU=Cherepovets1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PNZ1-MEDIA","CN=PNZ1-MEDIA,OU=Penza1,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PTZ1-MED-WW-01","CN=PTZ1-MED-WW-01,OU=Petrozavodsk1,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB5-VID-WW-01","CN=NSB5-VID-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NEV1-MED-WW-01","CN=NEV1-MED-WW-01,OU=Nevinnomyssk1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KST2-MED-WW-01","CN=KST2-MED-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-IT-TV","CN=CO-IT-TV,OU=Moscow1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PTZ1-VID-WW-02","CN=PTZ1-VID-WW-02,OU=Petrozavodsk1,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLZ1-VID-WW-01","CN=VLZ1-VID-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB2-MEDIA","CN=NSB2-MEDIA,OU=Novosibirsk2,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"kst2-vid-ww-01","CN=kst2-vid-ww-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB9-MED-WW-01","CN=SPB9-MED-WW-01,OU=Saint_Petersburg9,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORS1-VID-WW-01","CN=ORS1-VID-WW-01,OU=Orsk1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB9-KLAD-WW-01","CN=SPB9-KLAD-WW-01,OU=Saint_Petersburg9,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP11-KLAD-WW-01","CN=SP11-KLAD-WW-01,OU=Saint_Peterburg11,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DZR1-KLAD-WW-01","CN=DZR1-KLAD-WW-01,OU=Dzerzhinsk1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHB1-KLAD-COMP","CN=CHB1-KLAD-COMP,OU=Cheboksary1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"ORS1-KLAD-WW-01","CN=ORS1-KLAD-WW-01,OU=Orsk1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"sam1-klad-ww-01","CN=sam1-klad-ww-01,OU=Samara1,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORB1-KLAD-WW-01","CN=ORB1-KLAD-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"RYA2-KLAD-WW-01","CN=RYA2-KLAD-WW-01,OU=Ryazan2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NEV1-KLAD-WW-01","CN=NEV1-KLAD-WW-01,OU=Nevinnomyssk1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"BEL1-KLAD-COMP","CN=BEL1-KLAD-COMP,OU=Belgorod1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
