"name"
"Microsoft Exchange Security Groups"
"Member servers"
"Domain Controllers"
"Fashion3000"
"Stores"
"Office"
"Administration_support"
"Audit"
"Development"
"Financial"
"Human Resources"
"Informational Technologies"
"Logistics"
"Management"
"Trade"
"Marketing"
"Commercial"
"INF"
"Subjects"
"IT"
"ServiceIT"
"Update_only"
"Other_units"
"Saratov2"
"Fired"
"2016"
"Security profiles"
"SAP"
"Tech_support"
"Izhevsk2"
"Consulting"
"Ulyanovsk1"
"Corporate management"
"Computers_COM"
"Lipetsk1"
"Client-bank"
"Quality"
"Workstations"
"Ufa1"
"Reutov1"
"2008"
"Volgograd1"
"AllDomainGroups"
"Security groups"
"Stores"
"City"
"Commercial"
"Customs"
"Import"
"Operations"
"Ivanovo1"
"Moscow2"
"Izhevsk1"
"Moscow1"
"Voronezh1"
"Yaroslavl2"
"Ekaterinburg2"
"Saint_Peterburg3"
"Samara1"
"Kazan1"
"Saint_Peterburg4"
"Kostroma2"
"Regional managers"
"Samara4"
"Voronezh3"
"TestOU"
"Office_dekret"
"Tambov2"
"Accounting"
"Stavropol1"
"Chelyabinsk3"
"Saint_Peterburg2"
"Nizhniy_Novgorod1"
"Tula1"
"Chelyabinsk1"
"Krasnodar1"
"Voronezh2"
"Financial"
"Retail"
"Novorossiysk1"
"Logistics"
"Moscow4"
"Ufa2"
"Informational Technologies"
"Audit"
"Rostov1"
"TOP-management"
"Krasnodar2"
"Distribution_groups"
"Saint_Peterburg5"
"Ryazan2"
"Internet_groups"
"Saint_Peterburg6"
"2013"
"2012"
"2014"
"2015-true"
"Orel1"
"Rostov2"
"Volgograd3"
"Saint_Peterburg7"
"2011"
"old"
"2009"
"Novosibirsk2"
"Cheboksary1"
"Saint_Peterburg8"
"Astrakhan1"
"2015"
"Nizhniy_Novgorod2"
"Salary"
"Penza1"
"Belgorod1"
"Construction"
"Treasury"
"Design"
"Buyers"
"SAP"
"Ivanovo2"
"Toljatti4"
"top"
"Kazan2"
"Ryazan3"
"Merch"
"Shares_groups"
"Проекты"
"Sochi1"
"Pyatigorsk2"
"Prophix_logins"
"Reutov2"
"Ryazan1"
"Analytic"
"Marketing"
"Juridical"
"Krasnodar3"
"Novosibirsk3"
"Krasnodar4"
"Ekaterinburg4"
"Petrozavodsk1"
"Cherepovets1"
"Stavropol2"
"Orenburg1"
"YoshkarOla1"
"Lipetsk2"
"Saint_Petersburg9"
"Kazan4"
"Smolensk1"
"Samara5"
"Novosibirsk5"
"Orsk1"
"Kursk2"
"Volgograd4"
"Kemerovo1"
"Magnitogorsk1"
"Ekaterinburg5"
"Saint_Peterburg10"
"Vologda1"
"SPOINT"
"Kolomna1"
"Saint_Peterburg11"
"2015-3"
"2010"
"temp"
"Service_groups"
"Tumen2"
"Saratov3"
"Tumen3"
"Azov1"
"Kirov1"
"Nevinnomyssk1"
"Sterlitamak1"
"Yaroslavl3"
"Dzerzhinsk1"
"HR_cousult"
"Region"
"Regional merchs"
"SAP"
"Omsk1"
"workers"
"Armavir1"
"Saint_Peterburg12"
"Saint_Peterburg13"
"GK"
"Taganrog1"
"Volzhskiy1"
"Nizhnekamsk1"
"Template"
"Velikiy_Novgorod1"
"Moscow5"
